# Manufacturer-specific trouble codes.
#
# Generated by "cargo import" — do not edit by hand.
#
# J2012 reserves these ranges but not their meanings, so the same code means
# different things on different marques. Rows carry the make where the source
# named one; an empty make is a definition the source did not attribute, and is
# used only when nothing better matches.
#
# Records are sorted by code then make; internal/dtc verifies that on load.
#
# format: code,make,description
B1200,,Climate Control Pushbutton Circuit Failure
B1201,,Fuel Sender Circuit Failure
B1202,,Fuel Sender Circuit Open
B1203,,Fuel Sender Circuit Short To Battery
B1204,,Fuel Sender Circuit Short To Ground
B1205,,EIC Switch-1 Assembly Circuit Failure
B1206,,EIC Switch-1 Assembly Circuit Open
B1207,,EIC Switch-1 Assembly Circuit Short To Battery
B1208,,EIC Switch-1 Assembly Circuit Short To Ground
B1209,,EIC Switch-2 Assembly Circuit Failure
B1210,,EIC Switch-2 Assembly Circuit Open
B1211,,EIC Switch-2 Assembly Circuit Short To Battery
B1212,,EIC Switch-2 Assembly Circuit Short To Ground
B1213,,Anti-Theft Number of Programmed Keys Is Below Minimum
B1214,,Running Board Lamp Circuit Failure
B1215,,Running Board Lamp Circuit Short to Battery
B1216,,Emergency & Road Side Assistance Switch Circuit Short to Ground
B1217,,Horn Relay Coil Circuit Failure
B1218,,Horn Relay Coil Circuit Short to Vbatt
B1219,,Fuel Tank Pressure Sensor Circuit Failure
B1220,,Fuel Tank Pressure Sensor Circuit Open
B1222,,Fuel Temperature Sensor #1 Circuit Failure
B1223,,Fuel Temperature Sensor #1 Circuit Open
B1224,,Fuel Temperature Sensor #1 Circuit Short to Battery
B1225,,Fuel Temperature Sensor #1 Circuit Short to Ground
B1226,,Fuel Temperature Sensor #2 Circuit Failure
B1227,,Fuel Temperature Sensor #2 Circuit Open
B1228,,Fuel Temperature Sensor #2 Circuit Short to Battery
B1229,,Fuel Temperature Sensor #2 Circuit Short to Ground
B1231,,Longitudinal Acceleration Threshold Exceeded
B1232,,See Manufacturer
B1233,,Glass Break Sensor Failure
B1234,,Mirror Switch Invalid Code
B1235,,Window Feedback Failure
B1236,,Window Feedback Loss of Signal
B1237,,Window Feedback Out of Range
B1238,,Over Temperature Fault
B1239,,Air Flow Blend Door Driver Circuit Failure
B1240,,Wiper Washer Rear Pump Relay Circuit Failure
B1241,,Wiper Washer Rear Pump Relay Circuit Short to Battery
B1242,,Air Flow Recirculation Door Driver Circuit Failure
B1243,,Express Window Down Switch Circuit Short to Battery
B1244,,Wiper Rear Motor Run Relay Circuit Failure
B1245,,Wiper Rear Motor Run Relay Circuit Short to Battery
B1246,,Dim Panel Potentiometer Switch Circuit Failure
B1247,,Panel Dim Switch Circuit Open
B1248,,Passenger's Seatback Autoglide Rearward Switch Circuit Short to Ground
B1249,,Blend Door Failure
B1250,,Air Temperature Internal Sensor Circuit Failure
B1251,,Air Temperature Internal Sensor Circuit Open
B1252,,Air Temperature Internal Sensor Circuit Short To Battery
B1253,,Air Temperature Internal Sensor Circuit Short To Ground
B1254,,Air Temperature External Sensor Circuit Failure
B1255,,Air Temperature External Sensor Circuit Open
